year,quarter,district_code,district_name,neighborhood_code,neighborhood_name,euros_month,euros_m2_month,num_agreements
2018,2,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1198.77,14.72,113
2018,2,10,Sant Martí,67,la Vila Olímpica del Poblenou,1288.91,17.11,58
2018,2,10,Sant Martí,68,el Poblenou,960.99,14.27,269
2018,2,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1371.14,18.15,68
2018,2,10,Sant Martí,70,el Besòs i el Maresme,649.17,10.66,100
2018,2,10,Sant Martí,71,Provençals del Poblenou,913.66,13.28,100
2018,2,10,Sant Martí,72,Sant Martí de Provençals,797.54,11.86,129
2018,2,10,Sant Martí,73,la Verneda i la Pau,719.55,10.96,96
2018,3,1,Ciutat Vella,1,el Raval,849.32,14.12,456
2018,3,1,Ciutat Vella,2,el Barri Gòtic,1012.49,13.54,228
2018,3,1,Ciutat Vella,3,la Barceloneta,889.24,16.85,85
2018,3,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",970.97,15.12,278
2018,3,2,Eixample,5,el Fort Pienc,968.85,13.41,325
2018,3,2,Eixample,6,la Sagrada Família,934.89,13.97,458
2018,3,2,Eixample,7,la Dreta de l'Eixample,1216.7,14.48,538
2018,3,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1136.21,14.32,560
2018,3,2,Eixample,9,la Nova Esquerra de l'Eixample,1003.89,14.16,637
2018,3,2,Eixample,10,Sant Antoni,970.26,13.36,393
2018,3,3,Sants-Montjuïc,11,el Poble Sec,822.04,14.16,358
2018,3,3,Sants-Montjuïc,13,la Marina de Port,755.18,10.59,114
2018,3,3,Sants-Montjuïc,14,la Font de la Guatlla,871.41,12.31,87
2018,3,3,Sants-Montjuïc,15,Hostafrancs,814.55,13.58,150
2018,3,3,Sants-Montjuïc,16,la Bordeta,830.32,12.42,114
2018,3,3,Sants-Montjuïc,17,Sants - Badal,786.8,13.43,200
2018,3,3,Sants-Montjuïc,18,Sants,856.57,13.44,388
2018,3,4,Les Corts,19,les Corts,1077.99,15.02,402
2018,3,4,Les Corts,20,la Maternitat i Sant Ramon,1013.28,13.67,206
2018,3,4,Les Corts,21,Pedralbes,1849.52,14.8,74
2018,3,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1102.29,11.24,24
2018,3,5,Sarrià-Sant Gervasi,23,Sarrià,1443.71,17.86,227
2018,3,5,Sarrià-Sant Gervasi,24,les Tres Torres,1746.01,16.26,111
2018,3,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1322.61,16.06,225
2018,3,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1374.32,14.76,441
2018,3,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1021.27,15.15,319
2018,3,6,Gràcia,28,Vallcarca i els Penitents,905.82,13.73,169
2018,3,6,Gràcia,29,el Coll,756.36,12.75,56
2018,3,6,Gràcia,30,la Salut,870.31,13.17,89
2018,3,6,Gràcia,31,la Vila de Gràcia,923.39,14.72,643
2018,3,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,924.81,14.02,327
2018,3,7,Horta-Guinardó,33,el Baix Guinardó,839.47,12.72,189
2018,3,7,Horta-Guinardó,34,Can Baró,766.82,12.84,66
2018,3,7,Horta-Guinardó,35,el Guinardó,797.84,12.33,242
2018,3,7,Horta-Guinardó,36,la Font d'en Fargues,876.58,12.94,43
2018,3,7,Horta-Guinardó,37,el Carmel,654.77,11.48,170
2018,3,7,Horta-Guinardó,38,la Teixonera,705.6,12.66,84
2018,3,7,Horta-Guinardó,39,Sant Genís dels Agudells,660.93,9.53,54
2018,3,7,Horta-Guinardó,40,Montbau,763.82,11.5,38
2018,3,7,Horta-Guinardó,41,la Vall d'Hebron,822.31,12.24,26
2018,3,7,Horta-Guinardó,43,Horta,754.53,12.39,147
2018,3,8,Nou Barris,44,Vilapicina i la Torre Llobeta,742.82,11.81,146
2018,3,8,Nou Barris,45,Porta,712.12,11.24,152
2018,3,8,Nou Barris,46,el Turó de la Peira,682.67,11.37,93
2018,3,8,Nou Barris,47,Can Peguera,278.37399999999997,7.6659999999999995,2
2018,3,8,Nou Barris,48,la Guineueta,732.86,10.68,84
2018,3,8,Nou Barris,49,Canyelles,715.45,9.11,11
2018,3,8,Nou Barris,50,les Roquetes,638.14,11.85,56
2018,3,8,Nou Barris,51,Verdun,618.91,11.74,72
2018,3,8,Nou Barris,52,la Prosperitat,667.72,11.84,127
2018,3,8,Nou Barris,53,la Trinitat Nova,584.73,12.43,37
2018,3,8,Nou Barris,54,Torre Baró,401.71285714285716,7.377692307692308,5
2018,3,8,Nou Barris,55,Ciutat Meridiana,514.34,8.81,35
2018,3,8,Nou Barris,56,Vallbona,390.17333333333335,5.816666666666666,3
2018,3,9,Sant Andreu,57,la Trinitat Vella,597.93,10.14,29
2018,3,9,Sant Andreu,59,el Bon Pastor,693.69,10.81,42
2018,3,9,Sant Andreu,60,Sant Andreu,777.06,12.05,317
2018,3,9,Sant Andreu,61,la Sagrera,783.09,11.95,186
2018,3,9,Sant Andreu,62,el Congrés i els Indians,787.78,12.33,91
2018,3,9,Sant Andreu,63,Navas,823.74,11.99,121
2018,3,10,Sant Martí,64,el Camp de l'Arpa del Clot,827.45,12.92,350
2018,3,10,Sant Martí,65,el Clot,815.1,12.85,163
2018,3,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,897.67,13.78,98
2018,3,10,Sant Martí,67,la Vila Olímpica del Poblenou,1284.3,16.39,50
2018,3,10,Sant Martí,68,el Poblenou,1006.81,14.68,239
2018,3,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,818.55,12.99,170
